name,longitude (deg),latitude (deg),altitude (meters),minimum horizon (deg),status (1 for Online),target utilization,UHF frequency [Hz],UHF max frequency [Hz],VHF frequency [Hz],VHF max frequency [Hz]
Field Station Luxembourg VHF,6.139,49.68,245,20,1,75,0,0,135000000,148000000
OL7M,16.2179322,50.2098644,330,5,1,0,0,0,135000000,146000000
Nucleus,8.393486,47.405924,400,45,1,50,0,0,135000000,148000000
CERDECAM,4.454,50.85,100,10,1,0,430000000,470000000,135000000,148000000
IU3IOK,12.243,45.605,15,20,1,80,0,0,135000000,148000000
Homebrew Space Club @CamMakespace,0.116616,52.202061,14,38,1,2,0,0,0,0
GlastonburyUK-A,-2.70084,51.13788,100,5,1,100,0,0,135000000,148000000
SWLJN26,5.314773,46.32668,238,5,1,100,0,0,0,0
Archodiko-UHF,22.14474,36.97059,5,19,1,100,399900000,470000000,0,0
PF_DE_ADSB,8.693,48.886,300,23,1,100,0,0,0,0
TBC,-58.78,-34.48,25,15,1,100,430000000,440000000,135000000,148000000
LA4TSA,10.762,59.957,160,35,1,0,430000000,440000000,0,0
DragonLab-SatNOGS,-2.52744,53.54338,90,5,1,100,0,0,135000000,148000000
NU8M QTH,-83.6709,42.4973,289,0,1,0,430000000,470000000,135000000,148000000
Romeo-Golf-VHF,-0.84604257,51.41016131,50,30,1,100,0,0,135000000,148000000
Bad Homburg,8.640708,50.2165667,200,10,1,100,0,0,0,0
VK3XN - VHF,145.275,-37.817,147,25,1,10,0,0,135000000,148000000
KF5IDY RTL-SDR Egg 2m,-96.84,32.95,196,20,1,100,0,0,135000000,148000000
CCERES Ground Station,2.229,48.807,120,10,1,0,432000000,439000000,135000000,150000000
K2ZA,-75.0515,39.60133,32,22,1,0,430000000,440000000,135000000,148000000
VE2DTL-VHF,-73.75,45.315,56,5,1,100,0,0,135000000,148000000
ZR6AIC Ground Station,28.0684513,-26.28551,1700,10,1,100,430000000,470000000,0,0
LU1KCQ Home,-65.29032,-26.81554,491,10,1,100,430000000,440000000,0,0
sp8ncg-rtl1,22.5,51.25,200,30,1,0,430000000,470000000,0,0
BeachStation,-80.495,27.926,5,15,1,0,0,0,135000000,148000000
W6MSU / CH. B,-121.361,38.054,9,0,1,100,0,0,135000000,148000000
MANU F4HSE,7.417643,48.046911,190,20,1,0,430000000,440000000,0,0
VK4SMC,145.408,-16.448,6,10,1,50,430000000,470000000,131000000,146000000
Villanova CubeSat Club W3YP,-75.349,40.038,12,10,1,0,0,0,135000000,148000000
bbn,-71.15,42.39,6,45,1,94,430000000,470000000,144000000,146000000
gi0vgv,-6.234,54.479,70,10,1,0,430000000,440000000,0,0
Campus Borsbeek,4.491734,51.196177,8,10,1,0,0,0,135000000,150000000
GlastonburyUK-C,-2.70084,51.13788,100,15,1,100,430000000,440000000,0,0
KE0RWZ-Mini-PC,-90.625,37.854,242,10,1,100,430000000,470000000,135000000,148000000
sp7k,19.731,51.965,130,10,1,0,430000000,470000000,135000000,148000000
YO9HZN_1,25.575,44.909,327,2,1,100,430000000,470000000,135000000,148000000
KC3ECG,-76.796,39.318,114,25,1,70,0,0,100000000,150000000
S59MZ-VHF,14.386951,46.258282,460,0,1,0,0,0,0,0
YC1SCC,106.6311,-6.3711,100,3,1,100,400000000,470000000,135000000,148000000
FHAB GS1,12.89,56.82,67,20,1,100,390000000,500000000,0,0
DJ0MDO,8.942,49.753,240,15,1,61,430000000,470000000,0,0
VK3XN - UHF,145.275,-37.817,147,5,1,20,430000000,440000000,0,0
Shed Discone,-81.9179,41.4553,2590,10,1,100,0,0,0,0
MXL-FXB-AnnArbor,-83.7126,42.2936,900,0,1,50,399900000,403000000,135000000,148000000
primoz,14.3064,46.0531,300,0,1,0,430000000,470000000,135000000,148000000
Martin 9V1RM - UHF,103.913,1.315,10,10,1,0,400000000,490000000,0,0
EA1JBS - StationPueblu1,-3.854,43.38,10,0,1,100,430000000,470000000,135000000,148000000
The Garage,10.104595,56.972489,10,5,1,65,0,0,135000000,148000000
EX-EN90-VHF,-80.013,40.412,363,2,1,90,0,0,144000000,148000000
HHSstation-testing,-76.652544,39.56736,187,10,1,0,0,0,135000000,146000000
Venables_Shed_Pi4,1.3232,52.6619,50,4,1,92,400000000,470000000,0,0
Wolbach Library,-71.128,42.382,15,20,1,100,430000000,440000000,0,0
MSparc-EvoMetric,-4.263,53.225,80,10,1,49,0,0,135000000,148000000
KB0FX-RPI-1,-90.46,38.695,174,5,1,95,430000000,470000000,135000000,148000000
Silicon Valley,-122.09436,37.41029,15,35,1,100,430000000,440000000,0,0
ITR UHF,138.62,-34.813,10,0,1,0,430000000,470000000,0,0
Martin 9V1RM - VHF,103.913,1.315,10,10,1,0,0,0,135000000,148000000
PH3V - The Netherlands,4.6,51.46,12,5,1,0,430000000,470000000,135000000,148000000
YC8NYJ,120.756491,-1.393152,10,10,1,60,400000000,470000000,135000000,148000000
InSight 1 Ground Station,-2.065,52.079,257,3,1,100,0,0,118000000,200000000
N3KA Discone,-122.021,37.372,30,10,1,100,0,0,0,0
PE2BZ-firstsetup,4.208,52.0,1,1,1,32,400000000,440000000,0,0
VE2DTL-UHF,-73.75,45.315,56,5,1,100,430000000,450000000,0,0
Ticonderoga,-82.8881,42.3158,188,10,1,100,0,0,130000000,150000000
VE2DSK-VHF-UHF,-73.564,45.651,50,10,1,0,430000000,470000000,135000000,148000000
KI6TSF-1,-122.1,37.398,10,10,1,100,0,0,0,0
DM1AS,13.4483546,52.4937782,23,10,1,100,0,0,135000000,148000000
UY0LL,35.9715,49.9675,180,0,1,19,0,0,137000000,146000000
K8WTF VHF/UHF,-81.796,41.344,285,25,1,100,430000000,470000000,135000000,146000000
N9NFB VHF,-88.250514,43.028435,290,5,1,51,0,0,135000000,151000000
N9NFB UHF,-88.250514,43.028435,290,5,1,50,399000000,501000000,0,0
Not Quite ESL,-90.0,38.58,173,20,1,33,430000000,438900000,0,0
UHF Essendon,144.92,-37.759,55,30,1,100,430000000,440000000,0,0
Budapest UHF (west only),19.040236,47.497913,190,0,1,90,430000000,440000000,0,0
KF5IDY RTL-SDR Egg 70cm,-96.84,32.95,196,20,1,100,430000000,440000000,0,0
"Muskego, WI - EN52 - N9CQQ",-88.13111,42.918,300,0,1,15,430000000,440000000,144000000,146000000
PE1MET QFH VHF,4.495,51.914,30,20,1,0,0,0,135000000,148000000
DB2OS-VHF-Omni,9.831,52.29,100,0,1,0,0,0,135000000,148000000
"KK6NOW - Palm Desert, CA, US",-116.393,33.719,82,30,1,100,400000000,470000000,135000000,148000000
Pete (vk2pet),148.84,-34.743,565,0,1,0,430000000,470000000,130000000,148000000
Aetherbit LLC,-117.064181,33.01988,145,5,1,4,430000000,470000000,135000000,148000000
Greenbelt MD,-76.869382,38.988852,41,0,1,0,400000000,500000000,0,0
Malyi UHF,20.797475,48.017854,155,0,1,90,430000000,450000000,0,0
VK2PET #2 Trial Station,148.84,-34.743,565,0,1,0,430000000,450000000,0,0
YB8XM,128.1925,-3.7075,10,6,1,4,430000000,470000000,135000000,148000000
YC5ABK,100.8788,-1.9143,20,0,1,100,400000000,470000000,135000000,148000000
Ziggy,-117.13,45.213,1463,0,1,0,0,0,135000000,148000000
Silicon Valley-test,-122.09436,37.4103,15,35,1,100,430000000,470000000,0,0
VA7EEX - UHF,-123.42,49.48,50,10,1,100,400000000,512000000,0,0
Enlightened Labs,-72.879,41.839,157,10,1,0,430000000,470000000,135000000,148000000
LepoSat Canada - looking North-West,-73.9233,46.018,300,20,1,87,0,0,0,0
DK0SB-APT,7.194128,51.427722,165,0,1,0,0,0,136000000,138000000
DK0SB-VHF-Omni,7.194128,51.427722,165,0,1,0,0,0,135000000,148000000
DK0SB-UHF-Omni,7.194128,51.427722,165,0,1,0,430000000,470000000,0,0
AAS Berga Carballada,1.859,42.09,625,15,1,0,404000000,520000000,125000000,184000000
AAS Ager Carballada,0.744,42.019,755,15,1,0,430000000,470000000,135000000,148000000
TI3WTI-Paraiso,-83.875,9.813,1358,15,1,1,0,0,135000000,148000000
EA4ADJ,-3.234,38.942,650,4,1,6,430000000,470000000,135000000,148000000
QRA NOAA Station,2.172278,48.909916,50,10,1,0,0,0,137000000,138000000
PE0SAT-Y,5.03,51.721,10,5,1,0,400000000,470000000,0,0
DD1US/2 VHF/UHF/L-Omni,9.3814,49.2233,200,0,1,0,430000000,470000000,135000000,148000000
Wizado,5.66515,45.20531,320,1,1,50,430000000,470000000,135000000,148000000
EU1AEM,27.65,53.84,200,5,1,50,433000000,439000000,0,0
Enlightened-labs-Kona,-155.966,19.566,5,10,1,0,430000000,470000000,135000000,148000000
YD0NXX,106.7793,-6.2587,50,17,1,50,0,0,135000000,148000000
CSPDHQ,19.809,45.239,85,20,1,0,399000000,470000000,130000000,149000000
Paddock wood ground station,0.456,51.203,20,10,1,0,0,0,0,0
M2Mstation,18.745,49.216,346,10,1,0,0,0,136000000,138000000
EA3AGB,0.573,40.688,8,0,1,0,0,0,135000000,148000000
YC5YC,101.375,0.479,14,25,1,50,430000000,470000000,135000000,149999999
NCG,24.288945,59.356579,25,10,1,10,430000000,470000000,0,0
SV1QZZ VHF #1,23.828,38.022,208,0,1,100,0,0,135000000,148000000
DL8LAQ,9.971,53.835,35,0,1,0,430000000,470000000,135000000,148000000
DL4EEC-SAT,7.958328,53.64583,6,5,1,67,430000000,470000000,135000000,148000000
Olomouc,17.247,49.58,260,5,1,20,430000000,470000000,135000000,148000000
Vega80,-95.117,29.583,7,10,1,0,0,0,135000000,148000000
VHF Turnstile IO82,-2.195,52.997,100,19,1,0,0,0,135000000,148000000
ML Test,-75.399168,40.058879999999995,136,10,1,100,0,0,135000000,148000000
SIBPABHAS E24MTA,100.61054,13.691191,6,6,1,69,0,0,135000000,180000000
VU2YQ-1,74.0078,15.4027,35,5,1,0,0,0,135000000,148000000
SA2KNG,20.208,63.854,35,10,1,100,0,0,135000000,148000000
noaapriscos,-8.475794,41.499593,145,10,1,0,0,0,135000000,148000000
VU2ZMK,74.0409,15.3863,48,4,1,0,430000000,470000000,135000000,148000000
